origem,usuario,mensagem,data
BuzzMonitor,vitor.souza,Qual o status do incidente da manha?,2025-10-13 00:55:17
NPS,joao.oliveira,A integracao com o gateway de pagamento caiu.,2025-10-13 03:57:52
NPS,lucas.souza,Os tutoriais nao cobrem o que eu preciso. Preciso de retorno urgente.,2025-10-13 04:41:58
CSAT,gustavo.rocha,"O time de CS acompanhou ate a solucao, show.",2025-10-13 06:49:30
NPS,camila.elias,Posso enviar logs para ajudar a investigar?,2025-10-13 11:13:58
CSAT,gustavo.ribeiro,"Boa, o erro de sincronizacao sumiu.",2025-10-13 13:39:25
CSAT,patricia.araujo,Vocês recomendam qual navegador?,2025-10-13 16:53:14
NPS,mariana.teixeira,Qual o prazo para emitir nota fiscal?,2025-10-13 16:55:13
BuzzMonitor,mariana.rocha,"As dicas na tela ajudam bastante, parabens.",2025-10-13 20:59:15
CSAT,lucas.almeida,"A equipe acompanhou a implantacao, foi tranquilo. Preciso de retorno urgente.",2025-10-14 04:34:21
CSAT,mario.carvalho,Os dados do CRM estao vindo incompletos na integracao.,2025-10-14 11:56:54
BuzzMonitor,rafael.ribeiro,Preciso de auditoria e nao encontro logs completos.,2025-10-14 19:42:37
BuzzMonitor,mariana.teixeira,O fluxo de cadastro esta muito melhor.,2025-10-15 05:30:59
NPS,vitor.gomes,"Atendimento excelente, resolveram em minutos. Preciso de retorno urgente.",2025-10-15 09:47:11
CSAT,carla.silva,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-10-15 15:48:03
BOT,rafael.dias,O onboarding foi confuso e faltou treinamento.,2025-10-15 18:06:21
BuzzMonitor,rafael.silva,A experiencia poderia ser melhor em dispositivos moveis.,2025-10-15 20:46:22
BuzzMonitor,leonardo.souza,Estou recebendo erro 500 ao tentar salvar.,2025-10-15 22:38:54
BuzzMonitor,bruno.elias,O filtro nao funciona e retorna resultados errados.,2025-10-16 00:48:58
CSAT,rafael.silva,"A API esta bem documentada, consegui integrar rapido.",2025-10-16 03:28:33
NPS,laura.dias,O sistema duplica registros ao importar.,2025-10-16 03:37:50
CSAT,thiago.elias,Qual foi a causa da indisponibilidade de ontem?,2025-10-16 04:20:45
CSAT,patricia.nascimento,Qual foi a causa da indisponibilidade de ontem?,2025-10-16 05:44:12
NPS,carla.almeida,O cancelamento foi cobrado mesmo depois de eu solicitar. Preciso de retorno urgente.,2025-10-16 14:34:04
BuzzMonitor,thiago.rocha,Onde eu encontro o historico de faturas?,2025-10-16 20:43:06
CSAT,thiago.pereira,A busca demora demais e trava o navegador.,2025-10-17 07:32:04
BuzzMonitor,camila.lima,Resposta rapida e com orientacao completa.,2025-10-17 08:08:44
BOT,laura.souza,"Faltam campos no cadastro, isso atrapalha.",2025-10-17 09:24:24
CSAT,patricia.silva,Tem SSO com Azure AD?,2025-10-17 09:52:23
CSAT,diego.ribeiro,O onboarding foi confuso e faltou treinamento. Preciso de retorno urgente.,2025-10-17 21:07:03
CSAT,ana.nascimento,Qual o status do incidente da manha?,2025-10-18 00:22:01
NPS,bruno.carvalho,"Gostei do novo painel financeiro, bem mais claro.",2025-10-18 03:06:11
CSAT,gustavo.oliveira,Onde encontro a opcao para personalizar colunas?,2025-10-18 08:36:20
CSAT,mario.mendes,A documentacao e bem completa.,2025-10-18 12:30:44
BuzzMonitor,joao.almeida,A documentacao esta desatualizada.,2025-10-18 14:34:14
BOT,fernanda.mendes,Os tutoriais nao cobrem o que eu preciso.,2025-10-18 20:49:25
CSAT,fernanda.carvalho,Os tutoriais nao cobrem o que eu preciso.,2025-10-19 00:18:23
BOT,fernanda.araujo,A disponibilidade melhorou bastante essa semana.,2025-10-19 05:43:16
BuzzMonitor,carla.correa,"A performance melhorou muito, ta voando. Preciso de retorno urgente.",2025-10-19 11:55:59
CSAT,joao.mendes,O onboarding foi confuso e faltou treinamento.,2025-10-19 17:05:50
BuzzMonitor,fernanda.souza,O atendimento foi rude e nao ajudou.,2025-10-19 17:06:53
CSAT,lucas.rocha,Onde encontro a opcao para personalizar colunas?,2025-10-20 03:43:52
BuzzMonitor,carla.silva,A conciliacao bancaria ficou bem melhor nessa versao.,2025-10-20 04:46:58
CSAT,vitor.souza,Vocês podem considerar um novo recurso?,2025-10-20 06:21:15
BOT,vitor.correa,No geral estou bem satisfeito com a plataforma.,2025-10-20 14:53:49
NPS,mariana.souza,Qual politica de retencao de logs?,2025-10-20 15:12:20
NPS,diego.gomes,Existe cache para relatorios?,2025-10-20 18:28:18
CSAT,vitor.gomes,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-10-21 02:58:27
BOT,joao.martins,O tempo de resposta da API aumentou bastante.,2025-10-21 04:34:48
NPS,beatriz.ribeiro,"A equipe acompanhou a implantacao, foi tranquilo.",2025-10-21 10:29:27
CSAT,juliana.dias,As telas estao com lentidao em horario comercial.,2025-10-21 17:15:15
BuzzMonitor,laura.rocha,A ferramenta esta ajudando muito nosso dia a dia.,2025-10-21 19:55:27
CSAT,carla.ferreira,Qual politica de retencao de logs?,2025-10-21 22:08:59
BuzzMonitor,beatriz.teixeira,Qual foi a causa da indisponibilidade de ontem? Preciso de retorno urgente.,2025-10-22 05:29:06
BuzzMonitor,fernanda.elias,Parabens pelas melhorias de seguranca.,2025-10-22 06:24:29
CSAT,camila.silva,A plataforma caiu agora e nao consigo acessar.,2025-10-22 12:47:05
NPS,bruno.rocha,A experiencia poderia ser melhor em dispositivos moveis.,2025-10-22 16:54:43
CSAT,bruno.ribeiro,Estou recebendo erro 500 ao tentar salvar.,2025-10-22 19:48:46
NPS,patricia.souza,O boleto nao foi gerado e estou com pagamento em atraso por causa disso.,2025-10-22 23:36:49
NPS,mario.almeida,Parece que um usuario acessou dados que não deveria.,2025-10-23 00:39:14
NPS,mariana.ferreira,Posso enviar logs para ajudar a investigar?,2025-10-23 14:50:08
NPS,thiago.silva,Hoje o sistema esta super rapido e sem quedas.,2025-10-23 16:25:35
BOT,lucas.souza,A integracao gera erro ao sincronizar e para no meio.,2025-10-23 19:22:36
CSAT,gustavo.souza,As mensagens de erro não explicam o que fazer.,2025-10-23 22:56:43
BuzzMonitor,mariana.mendes,Depois da ultima manutencao ficou bem mais estavel.,2025-10-24 03:24:03
CSAT,leonardo.ribeiro,"A API esta bem documentada, consegui integrar rapido.",2025-10-24 04:52:58
BOT,thiago.dias,O atendimento foi rude e nao ajudou.,2025-10-24 05:13:30
CSAT,mario.mendes,O fluxo de cadastro esta muito melhor.,2025-10-24 06:11:55
BuzzMonitor,bruno.ribeiro,Fui transferido varias vezes e nao resolveram.,2025-10-24 07:53:46
CSAT,isabela.lima,"A sincronizacao ficou consistente, obrigado. Preciso de retorno urgente.",2025-10-24 08:09:35
CSAT,bruno.elias,O onboarding foi confuso e faltou treinamento.,2025-10-24 11:49:48
BuzzMonitor,isabela.araujo,"A sincronizacao ficou consistente, obrigado.",2025-10-24 12:32:47
NPS,leonardo.nascimento,Quero participar do beta de novas funcoes.,2025-10-24 14:17:50
CSAT,lucas.nascimento,Vocês tiveram alguma manutencao programada hoje? Preciso de retorno urgente.,2025-10-24 15:40:13
CSAT,carla.ribeiro,"A fatura veio com reajuste sem aviso, podem verificar?",2025-10-24 17:27:34
BuzzMonitor,patricia.silva,A autenticacao em dois fatores nao funciona.,2025-10-24 20:53:17
CSAT,mariana.barbosa,"Gostei do conector com o ERP, poupou tempo.",2025-10-25 03:04:23
CSAT,juliana.ribeiro,As telas estao com lentidao em horario comercial.,2025-10-25 06:52:59
BOT,ana.araujo,"A fatura veio com reajuste sem aviso, podem verificar?",2025-10-25 07:15:27
NPS,beatriz.silva,Tem trilha de treinamento para novos usuarios?,2025-10-25 13:19:00
NPS,joao.almeida,A integracao com o ERP nao esta sincronizando.,2025-10-25 14:30:57
NPS,patricia.silva,Tem atendimento aos finais de semana?,2025-10-25 15:45:40
BuzzMonitor,ana.pereira,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-10-25 16:01:31
BuzzMonitor,vitor.nascimento,Importacao muito mais eficiente agora.,2025-10-26 00:45:55
CSAT,carla.correa,Tem SDK em Python para integracao? Preciso de retorno urgente.,2025-10-26 01:56:54
CSAT,juliana.ribeiro,"A fatura veio com reajuste sem aviso, podem verificar?",2025-10-26 02:17:46
CSAT,vitor.oliveira,"Nao tive mais desconexoes, otimo trabalho.",2025-10-26 02:43:02
CSAT,gustavo.almeida,"As dicas na tela ajudam bastante, parabens.",2025-10-26 05:57:37
CSAT,patricia.barbosa,A autenticacao em dois fatores nao funciona. Ticket 75459.,2025-10-26 11:06:30
NPS,mariana.gomes,A documentacao e bem completa.,2025-10-26 12:52:17
BuzzMonitor,bruno.correa,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-10-26 14:31:13
CSAT,joao.ribeiro,"A sincronizacao ficou consistente, obrigado.",2025-10-26 16:46:45
CSAT,lucas.rocha,Resposta rapida e com orientacao completa.,2025-10-27 01:23:10
CSAT,isabela.mendes,Fiquei perdido na configuracao inicial.,2025-10-27 08:46:30
BuzzMonitor,joao.teixeira,Fiquei perdido na configuracao inicial. Preciso de retorno urgente.,2025-10-27 09:05:56
NPS,ana.almeida,A integracao suporta ambientes de teste?,2025-10-27 12:45:39
CSAT,gustavo.lima,"Estou sem retorno ha dias, isso prejudica o trabalho. Preciso de retorno urgente.",2025-10-27 13:26:28
CSAT,camila.souza,"A performance melhorou muito, ta voando.",2025-10-27 13:50:22
CSAT,rafael.elias,A nova interface ficou bem mais intuitiva.,2025-10-27 14:54:50
NPS,bruno.carvalho,A experiencia poderia ser melhor em dispositivos moveis.,2025-10-27 15:06:58
CSAT,vitor.ferreira,"Boa, o erro de sincronizacao sumiu.",2025-10-27 19:27:58
BuzzMonitor,beatriz.martins,As telas estao com lentidao em horario comercial. Preciso de retorno urgente.,2025-10-27 23:00:54
BuzzMonitor,mariana.silva,Como abro um chamado para suporte tecnico?,2025-10-28 07:51:03
BOT,ana.oliveira,Onde encontro a opcao para personalizar colunas?,2025-10-28 10:14:46
CSAT,mariana.pereira,Importacao muito mais eficiente agora.,2025-10-29 03:13:59
CSAT,thiago.martins,O tempo de resposta da API aumentou bastante.,2025-10-29 05:06:17
BOT,patricia.barbosa,No geral estou bem satisfeito com a plataforma. Ticket 57720.,2025-10-29 08:59:55
NPS,carla.ribeiro,Qual o status do incidente da manha?,2025-10-30 11:39:24
BuzzMonitor,diego.pereira,A API esta bem mais rapida nessa versao. Preciso de retorno urgente.,2025-10-30 16:22:16
CSAT,ana.carvalho,O tempo de resposta da API aumentou bastante.,2025-10-30 17:57:04
CSAT,patricia.lima,O boleto nao foi gerado e estou com pagamento em atraso por causa disso.,2025-10-30 22:23:48
CSAT,isabela.mendes,O suporte demorou muito para responder meu chamado.,2025-10-31 05:58:15
CSAT,fernanda.gomes,Qual politica de retencao de logs?,2025-10-31 07:09:05
NPS,mariana.pereira,Fui transferido varias vezes e nao resolveram.,2025-10-31 07:31:13
CSAT,mariana.elias,Como configuro 2FA para todos os usuarios?,2025-10-31 09:37:11
BuzzMonitor,rafael.almeida,O suporte foi muito prestativo e claro.,2025-10-31 23:27:01
NPS,laura.dias,"Parabens, a nota fiscal saiu certinha e bem rapido.",2025-11-01 00:29:05
CSAT,patricia.silva,Tenho uma sugestao de melhoria para o produto.,2025-11-01 10:12:14
CSAT,laura.rocha,A integracao com o ERP nao esta sincronizando.,2025-11-01 18:29:38
BuzzMonitor,vitor.carvalho,Nao consegui importar meus dados iniciais.,2025-11-01 19:26:36
CSAT,beatriz.carvalho,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-11-01 20:55:52
CSAT,lucas.gomes,Onde eu encontro o historico de faturas?,2025-11-02 01:23:01
CSAT,fernanda.ferreira,Estou recebendo erro 500 ao tentar salvar.,2025-11-03 01:32:06
CSAT,diego.mendes,O boleto nao foi gerado e estou com pagamento em atraso por causa disso.,2025-11-03 01:48:44
BuzzMonitor,gustavo.barbosa,O onboarding foi excelente e bem guiado.,2025-11-03 06:48:24
NPS,ana.lima,O menu mudou e agora ficou pior de usar.,2025-11-03 07:39:30
CSAT,camila.mendes,O botao de salvar nao responde na tela de cadastro.,2025-11-03 10:43:42
CSAT,mario.pereira,Qual o passo a passo recomendado para comecar? Preciso de retorno urgente.,2025-11-03 11:46:11
BOT,diego.ribeiro,Como abro um chamado para suporte tecnico?,2025-11-03 12:34:09
CSAT,lucas.ferreira,Tem trilha de treinamento para novos usuarios? Ticket 57381.,2025-11-03 15:13:28
BuzzMonitor,mario.gomes,"Relatorios agora carregam rapido, excelente.",2025-11-03 19:26:28
NPS,bruno.lima,"Adorei as novas funcionalidades, muito util.",2025-11-03 19:35:45
NPS,fernanda.oliveira,A autenticacao em dois fatores nao funciona. Preciso de retorno urgente.,2025-11-03 22:48:39
BuzzMonitor,patricia.teixeira,O sistema duplica registros ao importar.,2025-11-04 05:08:30
BOT,bruno.almeida,A tela nao e intuitiva e acaba atrapalhando.,2025-11-04 06:33:10
CSAT,patricia.ribeiro,A experiencia poderia ser melhor em dispositivos moveis.,2025-11-04 08:12:07
BuzzMonitor,camila.almeida,Estou recebendo erro 500 ao tentar salvar.,2025-11-04 10:25:10
CSAT,diego.elias,Qual versao contem a correcao do problema?,2025-11-04 14:07:54
NPS,ana.rocha,Onde eu encontro o historico de faturas?,2025-11-04 17:42:26
BuzzMonitor,camila.elias,No geral estou bem satisfeito com a plataforma.,2025-11-04 19:45:14
BuzzMonitor,carla.souza,"Faltam campos no cadastro, isso atrapalha.",2025-11-04 23:48:36
CSAT,vitor.oliveira,"As dicas na tela ajudam bastante, parabens.",2025-11-05 03:58:15
BuzzMonitor,gustavo.dias,O reset de senha falha e nao chega email.,2025-11-05 04:30:08
BuzzMonitor,joao.elias,Onde eu reporto um bug com print da tela?,2025-11-05 04:47:20
CSAT,rafael.barbosa,A experiencia poderia ser melhor em dispositivos moveis.,2025-11-05 05:16:13
BuzzMonitor,leonardo.rocha,"A performance melhorou muito, ta voando.",2025-11-05 05:19:50
CSAT,patricia.silva,O menu mudou e agora ficou pior de usar.,2025-11-05 08:14:49
BOT,lucas.martins,"A API esta bem documentada, consegui integrar rapido.",2025-11-05 09:32:38
CSAT,lucas.silva,Tem alguma previsao para corrigir a exportacao? Preciso de retorno urgente.,2025-11-05 20:06:34
BOT,joao.souza,"A busca ficou instantanea, parabens.",2025-11-05 22:03:06
BOT,diego.barbosa,O tempo de resposta da API aumentou bastante.,2025-11-06 03:29:18
CSAT,ana.barbosa,O suporte demorou muito para responder meu chamado.,2025-11-06 04:44:15
BuzzMonitor,thiago.mendes,A plataforma caiu agora e nao consigo acessar. Preciso de retorno urgente.,2025-11-06 16:08:54
BuzzMonitor,mariana.barbosa,Preciso de auditoria e nao encontro logs completos.,2025-11-06 23:58:46
NPS,patricia.ribeiro,Fiquei perdido na configuracao inicial.,2025-11-07 02:16:10
BuzzMonitor,thiago.martins,"Preciso atualizar o responsavel do contrato, com quem falo?",2025-11-07 06:47:31
BOT,isabela.martins,"A tela de cadastro ficou redonda, sem bugs. Ticket 67386.",2025-11-07 07:05:51
CSAT,leonardo.lima,Acho que a comunicacao de mudancas poderia melhorar.,2025-11-07 07:08:42
BOT,juliana.barbosa,O filtro nao funciona e retorna resultados errados.,2025-11-07 15:56:11
CSAT,diego.barbosa,"Gostei do controle de permissoes, bem completo.",2025-11-07 17:31:10
BOT,gustavo.nascimento,Posso reorganizar o menu?,2025-11-08 11:08:06
BuzzMonitor,fernanda.gomes,O sistema esta muito lento para carregar relatorios. Preciso de retorno urgente.,2025-11-08 21:56:03
BuzzMonitor,mariana.dias,Tem como trocar a forma de pagamento para cartao?,2025-11-09 07:00:15
BOT,joao.correa,"A navegacao esta confusa, nao acho as configuracoes.",2025-11-09 08:58:25
CSAT,vitor.correa,Nao consigo atualizar meus dados de pagamento no sistema.,2025-11-09 10:45:30
NPS,beatriz.nascimento,A documentacao esta desatualizada.,2025-11-09 11:47:42
CSAT,mario.mendes,O filtro não funciona e retorna resultados errados.,2025-11-09 15:56:28
CSAT,laura.ribeiro,No geral estou bem satisfeito com a plataforma.,2025-11-10 04:36:57
NPS,leonardo.araujo,Como abro um chamado para suporte tecnico?,2025-11-10 05:01:03
BuzzMonitor,thiago.araujo,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-11-10 06:52:12
NPS,juliana.oliveira,O suporte foi muito prestativo e claro.,2025-11-10 10:43:00
BOT,gustavo.nascimento,O boleto nao foi gerado e estou com pagamento em atraso por causa disso.,2025-11-10 12:18:50
CSAT,fernanda.carvalho,Parabens pelas melhorias de seguranca.,2025-11-10 16:34:38
CSAT,gustavo.rocha,A integracao com o CRM funcionou sem dor de cabeca.,2025-11-10 20:57:45
BuzzMonitor,isabela.teixeira,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-11-11 02:31:26
CSAT,gustavo.nascimento,A tela nao e intuitiva e acaba atrapalhando.,2025-11-11 07:13:15
CSAT,beatriz.ferreira,A ferramenta esta ajudando muito nosso dia a dia.,2025-11-11 09:35:05
BuzzMonitor,carla.almeida,No geral estou bem satisfeito com a plataforma.,2025-11-11 14:04:32
CSAT,patricia.rocha,O botao de salvar nao responde na tela de cadastro.,2025-11-11 23:45:35
NPS,carla.mendes,Os tutoriais nao cobrem o que eu preciso.,2025-11-12 03:55:27
CSAT,juliana.mendes,Os webhooks estao super estaveis agora.,2025-11-12 04:08:13
CSAT,mariana.souza,Depois da ultima manutencao ficou bem mais estavel. Preciso de retorno urgente.,2025-11-12 06:14:17
CSAT,bruno.ferreira,As telas estao com lentidao em horario comercial.,2025-11-12 08:27:57
BuzzMonitor,lucas.martins,Vocês tiveram alguma manutencao programada hoje?,2025-11-12 14:22:34
NPS,leonardo.carvalho,Tem atalho para acessar relatorios mais rapido?,2025-11-12 19:04:57
BuzzMonitor,vitor.rocha,O onboarding foi excelente e bem guiado.,2025-11-12 19:25:53
BuzzMonitor,juliana.nascimento,A exportacao para contabilidade funcionou de primeira. Ticket 37294.,2025-11-13 02:14:39
CSAT,camila.carvalho,Posso reorganizar o menu?,2025-11-13 02:54:37
NPS,fernanda.correa,Os webhooks estao super estaveis agora.,2025-11-13 05:09:00
NPS,carla.pereira,Nao consegui importar meus dados iniciais.,2025-11-13 07:11:20
CSAT,fernanda.mendes,As telas estao com lentidao em horario comercial.,2025-11-13 08:58:36
BOT,lucas.ribeiro,Vocês podem considerar um novo recurso?,2025-11-13 12:27:50
BuzzMonitor,thiago.correa,O reset de senha falha e nao chega email.,2025-11-13 13:05:20
CSAT,carla.almeida,"O processo de pagamento ficou mais simples, ajudou muito.",2025-11-13 14:59:36
CSAT,lucas.silva,Onde eu encontro o historico de faturas?,2025-11-13 16:08:07
BuzzMonitor,thiago.almeida,A API esta retornando 401 mesmo com token valido.,2025-11-14 05:33:58
CSAT,bruno.correa,O cancelamento foi cobrado mesmo depois de eu solicitar.,2025-11-14 08:00:29
NPS,rafael.carvalho,Qual foi a causa da indisponibilidade de ontem?,2025-11-14 19:49:50
NPS,camila.pereira,O suporte demorou muito para responder meu chamado.,2025-11-14 21:12:07
CSAT,carla.araujo,A autenticacao em dois fatores nao funciona.,2025-11-15 01:09:15
CSAT,isabela.elias,A busca demora demais e trava o navegador.,2025-11-15 01:18:44
CSAT,patricia.silva,Onde encontro a base de conhecimento?,2025-11-15 03:12:42
BuzzMonitor,carla.nascimento,"Gostei do conector com o ERP, poupou tempo.",2025-11-15 04:49:05
CSAT,camila.carvalho,Tem boas praticas para melhorar performance?,2025-11-15 11:56:33
BOT,vitor.nascimento,Parece que um usuario acessou dados que nao deveria.,2025-11-15 13:05:09
BOT,thiago.oliveira,A ferramenta esta ajudando muito nosso dia a dia.,2025-11-15 13:25:17
BuzzMonitor,patricia.barbosa,Nao consegui importar meus dados iniciais.,2025-11-15 15:28:49
CSAT,joao.correa,O sistema esta muito lento para carregar relatorios.,2025-11-16 05:48:36
CSAT,mariana.souza,O sistema esta muito lento para carregar relatorios.,2025-11-16 05:50:32
CSAT,thiago.almeida,"Adorei as novas funcionalidades, muito util.",2025-11-16 07:13:56
CSAT,leonardo.pereira,A correcao do filtro resolveu meu problema.,2025-11-16 10:18:06
NPS,lucas.gomes,Quando tento exportar CSV ele vem vazio.,2025-11-16 10:51:08
CSAT,juliana.pereira,O menu mudou e agora ficou pior de usar.,2025-11-16 15:17:50
NPS,mario.ribeiro,Vocês oferecem implantacao assistida?,2025-11-16 17:08:08
BuzzMonitor,thiago.mendes,O reset de senha falha e nao chega email. Preciso de retorno urgente.,2025-11-16 17:33:06
NPS,patricia.carvalho,"Obrigado por corrigirem o bug da exportacao, agora funciona.",2025-11-16 22:46:51
BuzzMonitor,isabela.lima,Acho que a comunicacao de mudancas poderia melhorar.,2025-11-16 23:22:44
BuzzMonitor,beatriz.silva,Fui transferido varias vezes e nao resolveram.,2025-11-16 23:39:17
NPS,rafael.carvalho,Existe cache para relatorios? Preciso de retorno urgente.,2025-11-17 01:03:54
CSAT,beatriz.araujo,"Gostei do controle de permissoes, bem completo.",2025-11-17 12:27:21
CSAT,thiago.rocha,"Nao carrega a tela inicial, fica em loading infinito.",2025-11-17 21:36:57
BuzzMonitor,isabela.araujo,A plataforma caiu agora e nao consigo acessar.,2025-11-18 09:03:43
CSAT,vitor.almeida,Muitos cliques para fazer uma tarefa simples.,2025-11-18 11:06:32
NPS,beatriz.barbosa,"A tela de cadastro ficou redonda, sem bugs.",2025-11-18 11:51:30
CSAT,camila.teixeira,Como gero um token de API?,2025-11-18 17:29:52
CSAT,bruno.ribeiro,"Nao carrega a tela inicial, fica em loading infinito.",2025-11-18 22:40:06
BuzzMonitor,diego.silva,"Estou sem retorno ha dias, isso prejudica o trabalho. Preciso de retorno urgente.",2025-11-19 03:06:14
NPS,fernanda.elias,Como gero um token de API?,2025-11-19 03:40:13
NPS,lucas.dias,A tela nao e intuitiva e acaba atrapalhando.,2025-11-19 06:50:03
CSAT,patricia.barbosa,A plataforma caiu agora e nao consigo acessar.,2025-11-19 07:04:42
CSAT,leonardo.martins,Depois do patch nao ocorre mais duplicacao na importacao.,2025-11-19 07:06:02
CSAT,ana.elias,O suporte foi muito prestativo e claro.,2025-11-19 08:00:24
CSAT,patricia.teixeira,"Faltam campos no cadastro, isso atrapalha.",2025-11-19 08:49:11
BuzzMonitor,thiago.ferreira,Quando tento exportar CSV ele vem vazio.,2025-11-19 11:44:11
CSAT,lucas.correa,"A tela de cadastro ficou redonda, sem bugs.",2025-11-19 20:44:23
BuzzMonitor,mario.rocha,Ficou travando e desconectando toda hora.,2025-11-19 23:46:03
BOT,lucas.pereira,Qual versao contem a correcao do problema? Preciso de retorno urgente.,2025-11-20 11:04:40
CSAT,ana.ribeiro,Tem SSO com Azure AD?,2025-11-20 14:26:02
BuzzMonitor,gustavo.nascimento,"A importacao esta levando horas, ficou impraticavel.",2025-11-20 22:20:31
CSAT,beatriz.correa,Vocês tiveram alguma manutencao programada hoje?,2025-11-20 22:28:09
BuzzMonitor,thiago.dias,"Obrigada pela paciencia, problema resolvido.",2025-11-20 23:02:33
CSAT,mariana.nascimento,A API esta retornando 401 mesmo com token valido.,2025-11-21 01:32:07
NPS,gustavo.teixeira,O menu mudou e agora ficou pior de usar.,2025-11-21 07:44:58
NPS,ana.pereira,Vocês podem considerar um novo recurso?,2025-11-21 10:17:50
CSAT,joao.oliveira,Onde encontro a opcao para personalizar colunas? Preciso de retorno urgente.,2025-11-21 13:21:58
CSAT,vitor.teixeira,"Adorei as novas funcionalidades, muito util.",2025-11-21 16:46:05
BuzzMonitor,rafael.teixeira,Tem trilha de treinamento para novos usuarios?,2025-11-21 17:12:12
CSAT,isabela.almeida,Sinto falta de um relatorio mais completo. Preciso de retorno urgente.,2025-11-21 20:35:24
BuzzMonitor,laura.ribeiro,As mensagens de erro nao explicam o que fazer.,2025-11-21 21:48:07
CSAT,vitor.rocha,O reset de senha falha e nao chega email. Preciso de retorno urgente.,2025-11-22 01:11:17
CSAT,diego.elias,"Atendimento excelente, resolveram em minutos.",2025-11-22 01:11:34
CSAT,beatriz.lima,A experiencia poderia ser melhor em dispositivos moveis.,2025-11-22 04:53:43
BuzzMonitor,diego.lima,A documentacao esta desatualizada.,2025-11-22 08:05:07
CSAT,mariana.dias,Onde vejo o log de auditoria?,2025-11-22 12:46:00
CSAT,juliana.teixeira,Como gero um token de API?,2025-11-22 16:46:45
BuzzMonitor,rafael.nascimento,Hoje o sistema esta super rapido e sem quedas.,2025-11-22 18:05:21
NPS,vitor.rocha,"A API esta bem documentada, consegui integrar rapido.",2025-11-22 21:53:33
BuzzMonitor,gustavo.lima,Os tutoriais ajudaram muito a comecar.,2025-11-22 23:08:17
CSAT,carla.gomes,"As dicas na tela ajudam bastante, parabens.",2025-11-23 05:09:15
BOT,juliana.silva,Fiquei perdido na configuracao inicial.,2025-11-23 16:14:45
CSAT,beatriz.pereira,Sinto falta de um relatorio mais completo.,2025-11-23 16:22:50
BuzzMonitor,bruno.silva,"Estou sem retorno ha dias, isso prejudica o trabalho. Preciso de retorno urgente.",2025-11-23 19:42:52
CSAT,juliana.araujo,Quero entender como funciona o calculo de impostos.,2025-11-24 04:21:46
BuzzMonitor,fernanda.barbosa,"A fatura veio com reajuste sem aviso, podem verificar?",2025-11-24 05:37:58
CSAT,patricia.ferreira,A integracao com o ERP nao esta sincronizando.,2025-11-24 09:32:17
BOT,ana.pereira,"Estou sem retorno ha dias, isso prejudica o trabalho.",2025-11-24 10:02:04
BuzzMonitor,leonardo.nascimento,Os dados do CRM estao vindo incompletos na integracao. Preciso de retorno urgente.,2025-11-24 11:58:33
CSAT,camila.carvalho,"A busca ficou instantanea, parabens.",2025-11-24 14:25:16
NPS,beatriz.mendes,A nova interface ficou bem mais intuitiva.,2025-11-24 19:15:35
BuzzMonitor,bruno.gomes,Tem alguma previsao para corrigir a exportacao?,2025-11-25 01:09:32
NPS,gustavo.araujo,O sistema duplica registros ao importar.,2025-11-25 01:35:09
CSAT,fernanda.elias,"Gostei do novo painel financeiro, bem mais claro.",2025-11-25 04:20:23
BuzzMonitor,fernanda.pereira,Gostaria de entender o roadmap de funcionalidades.,2025-11-25 08:59:21
CSAT,diego.barbosa,"A performance melhorou muito, ta voando. Preciso de retorno urgente.",2025-11-25 11:06:46
CSAT,beatriz.dias,Os webhooks estao super estaveis agora.,2025-11-25 12:59:01
BOT,carla.pereira,A documentacao e bem completa.,2025-11-26 01:05:14
NPS,ana.araujo,"O time de CS acompanhou ate a solucao, show.",2025-11-26 01:23:41
NPS,rafael.nascimento,Tenho uma sugestao de melhoria para o produto.,2025-11-26 04:08:10
BuzzMonitor,ana.nascimento,A tela nao e intuitiva e acaba atrapalhando.,2025-11-26 04:51:00
BuzzMonitor,carla.oliveira,Onde vejo o log de auditoria? Preciso de retorno urgente.,2025-11-26 08:14:31
CSAT,isabela.almeida,No geral estou bem satisfeito com a plataforma.,2025-11-26 14:25:03
NPS,ana.mendes,A autenticacao em dois fatores nao funciona.,2025-11-27 01:01:20
CSAT,patricia.dias,Nao consigo atualizar meus dados de pagamento no sistema.,2025-11-27 05:41:24
BOT,rafael.rocha,O menu mudou e agora ficou pior de usar.,2025-11-27 09:33:00
CSAT,diego.araujo,A integracao gera erro ao sincronizar e para no meio.,2025-11-27 12:48:25
CSAT,laura.mendes,No geral estou bem satisfeito com a plataforma.,2025-11-27 14:15:05
NPS,carla.silva,A integracao gera erro ao sincronizar e para no meio.,2025-11-27 16:05:24
BuzzMonitor,vitor.rocha,Muitos cliques para fazer uma tarefa simples.,2025-11-27 17:03:37
NPS,rafael.ribeiro,Nao consigo atualizar meus dados de pagamento no sistema.,2025-11-27 17:27:36
BuzzMonitor,laura.teixeira,"Estou vendo lentidao em alguns horarios, e esperado?",2025-11-27 18:28:06
